Domaine	Endpoint/source	Chemin JSON exact	Type	Exemple réel	Disponible avant match ?	Disponible en direct ?	Disponible après match ?	Historique accessible ?	Fiabilité/complétude	Déjà stocké dans le projet ?	Déjà utilisé par le moteur ?
Identité et contexte du match	/fixtures?id=1379344	errors	array	[]	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	get	str	fixtures	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	paging.current	int	1	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	paging.total	int	1	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	parameters.id	str	1379344	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].events[].assist.id	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].events[].assist.name	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].events[].comments	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].events[].detail	str	Normal Goal	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].events[].player.id	int	19281	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].events[].player.name	str	A. Semenyo	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].events[].team.id	int	50	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].events[].team.logo	str	https://media.api-sports.io/football/teams/50.png	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].events[].team.name	str	Manchester City	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].events[].time.elapsed	int	23	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].events[].time.extra	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].events[].type	str	Goal	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].fixture.date	str	2026-05-24T15:00:00+00:00	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].fixture.id	int	1379344	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].fixture.periods.first	int	1779634800	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].fixture.periods.second	int	1779638400	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].fixture.referee	str	A. Madley	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].fixture.status.elapsed	int	90	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].fixture.status.extra	int	12	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].fixture.status.long	str	Match Finished	oui	non	oui	oui	bonne	oui	non
Identité et contexte du match	/fixtures?id=1379344	response[].fixture.status.short	str	FT	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].fixture.timestamp	int	1779634800	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].fixture.timezone	str	UTC	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].fixture.venue.city	str	Manchester	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].fixture.venue.id	int	555	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].fixture.venue.name	str	Etihad Stadium	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].goals.away	int	2	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].goals.home	int	1	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].league.country	str	England	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].league.flag	str	https://media.api-sports.io/flags/gb-eng.svg	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].league.id	int	39	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].league.logo	str	https://media.api-sports.io/football/leagues/39.png	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].league.name	str	Premier League	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].league.round	str	Regular Season - 38	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].league.season	int	2025	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].league.standings	bool	True	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].coach.id	int	4	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].coach.name	str	Pep Guardiola	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].coach.photo	str	https://media.api-sports.io/football/coachs/4.png	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].formation	str	4-2-2-2	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].startXI[].player.grid	str	1:1	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].startXI[].player.id	int	162489	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].startXI[].player.name	str	J. Trafford	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].startXI[].player.number	int	1	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].startXI[].player.pos	str	G	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].substitutes[].player.grid	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].substitutes[].player.id	int	19012	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].substitutes[].player.name	str	M. Bettinelli	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].substitutes[].player.number	int	13	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].substitutes[].player.pos	str	G	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].team.colors.goalkeeper.border	str	008b48	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].team.colors.goalkeeper.number	str	feb139	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].team.colors.goalkeeper.primary	str	008b48	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].team.colors.player.border	str	abd1f5	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].team.colors.player.number	str	000000	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].team.colors.player.primary	str	abd1f5	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].team.id	int	50	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].team.logo	str	https://media.api-sports.io/football/teams/50.png	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].lineups[].team.name	str	Manchester City	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].player.id	int	162489	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].player.name	str	James Trafford	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].player.photo	str	https://media.api-sports.io/football/players/162489.png	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].cards.red	int	0	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].cards.yellow	int	0	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].dribbles.attempts	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].dribbles.past	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].dribbles.success	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].duels.total	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].duels.won	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].fouls.committed	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].fouls.drawn	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].games.captain	bool	False	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].games.minutes	int	90	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].games.number	int	1	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].games.position	str	G	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].games.rating	str	6.3	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].games.substitute	bool	False	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].goals.assists	int	0	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].goals.conceded	int	2	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].players[].players[].statistics[].goals.saves	int	3	oui	non	oui	oui	bonne	non	non
