api_league_id,competition,country,type,family,brand_color,frame_template,cartouche_template,example_label
"2","UEFA Champions League","World","Cup","Europe des clubs","#071A4D","#12 Cadre galerie","#12 Capsule galerie","NUIT EUROPÉENNE"
"3","UEFA Europa League","World","Cup","Europe des clubs","#E87924","#12 Cadre galerie","#12 Capsule galerie","NUIT EUROPÉENNE"
"848","UEFA Europa Conference League","World","Cup","Europe des clubs","#159B7D","#12 Cadre galerie","#12 Capsule galerie","NUIT EUROPÉENNE"
"39","Premier League","England","League","Championnat","#7A3FAC","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"61","Ligue 1","France","League","Championnat","#2975D9","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"140","La Liga","Spain","League","Championnat","#E95757","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"78","Bundesliga","Germany","League","Championnat","#D83245","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"135","Serie A","Italy","League","Championnat","#276BC4","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"94","Primeira Liga","Portugal","League","Championnat","#16835B","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"95","Segunda Liga","Portugal","League","Championnat","#5AABDD","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"88","Eredivisie","Netherlands","League","Championnat","#F17B38","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"144","Jupiler Pro League","Belgium","League","Championnat","#E8B933","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"179","Premiership","Scotland","League","Championnat","#7546AD","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"203","Süper Lig","Turkey","League","Championnat","#E65378","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"197","Super League 1","Greece","League","Championnat","#2F73B8","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"119","Superliga","Denmark","League","Championnat","#DC3E42","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"207","Super League","Switzerland","League","Championnat","#D14C58","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"218","Bundesliga","Austria","League","Championnat","#A83242","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"40","Championship","England","League","Championnat","#3C77A8","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"62","Ligue 2","France","League","Championnat","#83B9EF","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"136","Serie B","Italy","League","Championnat","#2B66AD","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"79","2. Bundesliga","Germany","League","Championnat","#D54550","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"141","Segunda División","Spain","League","Championnat","#E49E2E","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"106","Ekstraklasa","Poland","League","Championnat","#E13E43","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"210","HNL","Croatia","League","Championnat","#D74B55","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"209","Schweizer Cup","Switzerland","Cup","Coupe nationale","#E0BB63","#4 Rails ouverts","#8 Capsule","HUITIÈME DE FINALE"
"283","Liga I","Romania","League","Championnat","#2E578E","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"253","Major League Soccer","USA","League","Championnat","#39A9DF","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"71","Serie A","Brazil","League","Championnat","#1DA96B","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"128","Liga Profesional Argentina","Argentina","League","Championnat","#3B72D6","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"262","Liga MX","Mexico","League","Championnat","#E87845","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"307","Pro League","Saudi-Arabia","League","Championnat","#0F9991","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"98","J1 League","Japan","League","Championnat","#D4415D","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"188","A-League","Australia","League","Championnat","#EEA15A","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"103","Eliteserien","Norway","League","Championnat","#3B9A7B","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"113","Allsvenskan","Sweden","League","Championnat","#E9B231","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"164","Úrvalsdeild","Iceland","League","Championnat","#3865A2","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"169","Super League","China","League","Championnat","#C23D57","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"244","Veikkausliiga","Finland","League","Championnat","#3C7D96","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"292","K League 1","South-Korea","League","Championnat","#E85C59","#1 Fil continu","#7 Biseauté","JOURNÉE 5"
"531","UEFA Super Cup","World","Cup","Supercoupe","#B9C4D0","#5 Pont central","#9 Double cartouche","FINALE"
"45","FA Cup","England","Cup","Coupe nationale","#E84B3D","#4 Rails ouverts","#8 Capsule","HUITIÈME DE FINALE"
"48","League Cup","England","Cup","Coupe nationale","#699BCB","#4 Rails ouverts","#8 Capsule","HUITIÈME DE FINALE"
"528","Community Shield","England","Cup","Supercoupe","#C99C3F","#5 Pont central","#9 Double cartouche","FINALE"
"66","Coupe de France","France","Cup","Coupe nationale","#C7A02C","#4 Rails ouverts","#8 Capsule","HUITIÈME DE FINALE"
"526","Trophée des Champions","France","Cup","Supercoupe","#2B427E","#5 Pont central","#9 Double cartouche","FINALE"
"81","DFB Pokal","Germany","Cup","Coupe nationale","#D43843","#4 Rails ouverts","#8 Capsule","HUITIÈME DE FINALE"
"529","Super Cup","Germany","Cup","Supercoupe","#D73747","#5 Pont central","#9 Double cartouche","FINALE"
"96","Taça de Portugal","Portugal","Cup","Coupe nationale","#2A9D71","#4 Rails ouverts","#8 Capsule","HUITIÈME DE FINALE"
"550","Super Cup","Portugal","Cup","Supercoupe","#3BAE83","#5 Pont central","#9 Double cartouche","FINALE"
"143","Copa del Rey","Spain","Cup","Coupe nationale","#E54F3F","#4 Rails ouverts","#8 Capsule","HUITIÈME DE FINALE"
"556","Super Cup","Spain","Cup","Supercoupe","#D85B45","#5 Pont central","#9 Double cartouche","FINALE"
"137","Coppa Italia","Italy","Cup","Coupe nationale","#189676","#4 Rails ouverts","#8 Capsule","HUITIÈME DE FINALE"
"547","Super Cup","Italy","Cup","Supercoupe","#1B997B","#5 Pont central","#9 Double cartouche","FINALE"
"90","KNVB Beker","Netherlands","Cup","Coupe nationale","#DF7830","#4 Rails ouverts","#8 Capsule","HUITIÈME DE FINALE"
"543","Super Cup","Netherlands","Cup","Supercoupe","#EB7D3C","#5 Pont central","#9 Double cartouche","FINALE"
"147","Cup","Belgium","Cup","Coupe nationale","#E44850","#4 Rails ouverts","#8 Capsule","HUITIÈME DE FINALE"
"519","Super Cup","Belgium","Cup","Supercoupe","#E64C51","#5 Pont central","#9 Double cartouche","FINALE"
"181","FA Cup","Scotland","Cup","Coupe nationale","#714EAC","#4 Rails ouverts","#8 Capsule","HUITIÈME DE FINALE"
"185","League Cup","Scotland","Cup","Coupe nationale","#C56F46","#4 Rails ouverts","#8 Capsule","HUITIÈME DE FINALE"
"551","Super Cup","Turkey","Cup","Supercoupe","#E65478","#5 Pont central","#9 Double cartouche","FINALE"
"1","World Cup","World","Cup","Sélections internationales","#B72C46","#3 Coins verrouillés","#7 Biseauté","PHASE DE GROUPES"
"32","World Cup - Qualification Europe","World","Cup","Qualifications internationales","#427DBE","#11 Cadre segmenté","Passeport","QUALIFICATIONS"
"4","Euro Championship","World","Cup","Sélections internationales","#269A85","#3 Coins verrouillés","#7 Biseauté","PHASE DE GROUPES"
"5","UEFA Nations League","World","Cup","Sélections internationales","#273D86","#3 Coins verrouillés","#7 Biseauté","PHASE DE GROUPES"
"9","Copa America","World","Cup","Sélections internationales","#4281A4","#3 Coins verrouillés","#7 Biseauté","PHASE DE GROUPES"
"6","Africa Cup of Nations","World","Cup","Sélections internationales","#CE8A2C","#3 Coins verrouillés","#7 Biseauté","PHASE DE GROUPES"
"7","Asian Cup","World","Cup","Sélections internationales","#B4404A","#3 Coins verrouillés","#7 Biseauté","PHASE DE GROUPES"
"22","CONCACAF Gold Cup","World","Cup","Sélections internationales","#D29E26","#3 Coins verrouillés","#7 Biseauté","PHASE DE GROUPES"
"536","CONCACAF Nations League","World","Cup","Sélections internationales","#3D638E","#3 Coins verrouillés","#7 Biseauté","PHASE DE GROUPES"
"64","Feminine Division 1","France","League","Championnat féminin","#D04592","#2 Cadre intérieur","#6 Onglet affleurant","JOURNÉE 5"
"525","UEFA Champions League Women","World","Cup","Europe des clubs","#533DB9","#12 Cadre galerie","#12 Capsule galerie","NUIT EUROPÉENNE"
"1191","UEFA Europa Cup - Women","World","Cup","Europe des clubs","#BD5BA7","#12 Cadre galerie","#12 Capsule galerie","NUIT EUROPÉENNE"
"8","World Cup - Women","World","Cup","Sélections internationales","#7C4A95","#3 Coins verrouillés","#7 Biseauté","PHASE DE GROUPES"
